numero,id_voie,lon,lat,appartement,valeur_locative
8,29082_n77iwv,-4.018339,48.743522,1,0
9,29082_n77iwv,-4.017457,48.743155,2,0
10,29082_n77iwv,-4.018064,48.743573,1,0
11,29082_n77iwv,-4.017329,48.743207,1,0
12,29082_n77iwv,-4.017967,48.743561,4,0
14,29082_n77iwv,-4.017893,48.743601,1,0
15,29082_n77iwv,-4.01725,48.742853,1,0
16,29082_n77iwv,-4.017894,48.743409,1,0
17,29082_n77iwv,-4.016988,48.74294,1,0
18,29082_n77iwv,-4.017802,48.743251,1,0
19,29082_n77iwv,-4.016778,48.743031,1,0
20,29082_n77iwv,-4.017625,48.742934,2,0
21,29082_n77iwv,-4.016384,48.743018,1,0
22,29082_n77iwv,-4.017666,48.742816,1,0
23,29082_n77iwv,-4.016337,48.743029,1,0
24,29082_n77iwv,-4.017701,48.742753,1,0
26,29082_n77iwv,-4.017789,48.742658,1,0
28,29082_n77iwv,-4.017959,48.742511,1,0
2,29082_b060,-4.010719,48.744412,1,0
3,29082_b060,-4.010807,48.744155,1,0
4,29082_b060,-4.010921,48.744449,1,0
5,29082_b060,-4.010745,48.74413,1,0
6,29082_b060,-4.011011,48.744456,1,0
7,29082_b060,-4.010586,48.744112,1,0
8,29082_b060,-4.011145,48.744467,1,0
9,29082_b060,-4.011207,48.744411,1,0
10,29082_b060,-4.011253,48.744499,1,0
16,29082_b060,-4.011971,48.744478,1,0
17,29082_b060,-4.012116,48.74441,1,0
18,29082_b060,-4.012022,48.744472,1,0
20,29082_b060,-4.012119,48.744467,1,0
22,29082_b060,-4.012263,48.744466,2,0
24,29082_b060,-4.012564,48.744483,1,0
26,29082_b060,-4.012877,48.7446,1,0
28,29082_b060,-4.01291,48.744675,1,0
32,29082_b060,-4.012883,48.74479,1,0
34,29082_b060,-4.012997,48.744964,1,0
38,29082_b060,-4.01317,48.745006,1,0
40,29082_b060,-4.013144,48.744966,1,0
